norm_t,mean_t,std_t,skew_t,kurt_t,max_t,norm_f,mean_f,std_f,skew_f,kurt_f,max_f,norm_a5_db4,norm_cd1_db4,norm_cd2_db4,norm_cd3_db4,norm_cd4_db4,norm_cd5_db4,mean_a5_db4,mean_cd1_db4,mean_cd2_db4,mean_cd3_db4,mean_cd4_db4,mean_cd5_db4,std_a5_db4,std_cd1_db4,std_cd2_db4,std_cd3_db4,std_cd4_db4,std_cd5_db4,skew_a5_db4,skew_cd1_db4,skew_cd2_db4,skew_cd3_db4,skew_cd4_db4,skew_cd5_db4,kurt_a5_db4,kurt_cd1_db4,kurt_cd2_db4,kurt_cd3_db4,kurt_cd4_db4,kurt_cd5_db4,max_a5_db4,max_cd1_db4,max_cd2_db4,max_cd3_db4,max_cd4_db4,max_cd5_db4,locLabel,resistance,faultLabel
0.00043818335271235,-0.0220419446184983,0.0195898560637988,-0.979554776964456,1.0058623998763,0.0101516304670548,0.000454015493609878,0.0169553493884363,0.0213528231501345,1.03693749097474,1.08118658374803,0.0220419446184983,0.000452358815528539,6.59557743209794e-08,2.23556755698148e-07,1.25210801276745e-06,1.97511289417877e-06,1.19339588149026e-05,0.000484704587566091,1.77888057040059e-07,1.99029060245962e-07,2.23290918389062e-05,0.000510482339165469,0.000202030482531366,0.000427203466175596,6.58155934007957e-08,2.22738752926678e-07,1.24594949284759e-06,1.97301739787453e-06,1.19335357593182e-05,3.46724125415052,0.0306843344872134,24.6824330014535,28.5483633235435,0.000222963235648741,0.00661201625537514,1.24703554811908,0.0825461662633293,26.1914661693872,2.29944451963405,0.368046008633093,0.0635241481687824,0.000104813616053571,2.27461566719776e-08,8.53176836349354e-07,4.65751044435844e-07,1.1937905167723e-06,6.66091796436028e-06,1,0.001,ABCG
0.129229718997407,-0.326140545820503,0.392308167946584,-1.08103990909346,1.01059964027857,0.243329762549664,0.121196792411292,0.323989941000052,0.348179403155301,0.941886214940683,0.881423406755376,0.326140545820503,0.135576720233741,9.69438673962089e-07,3.30877444574166e-05,0.000258414798523389,0.000308650585627153,0.000396447205632535,0.101056646270379,1.71971649530625e-06,2.54457623795618e-05,0.00451725757740345,0.109217328192647,0.00960249003939822,0.162314766548753,9.67460690109676e-07,3.29754188683944e-05,0.000257184665065644,0.000308267135101647,0.000396425711160098,6.33747388518471,0.0271533186683175,12.8354067132024,23.8751125190157,0.0501042116815314,62.7420291751755,1.40416829908971,0.170141306594538,22.2692198600434,2.04572144740937,1.19505930103219,1.38996355528743,0.0599266622332231,5.21115887001313e-07,0.000114601724354405,0.000109720864780423,0.00028002731130537,0.000216012892446661,1,0.0273,ABCG
0.292589568700319,-0.440136945432851,0.632732851381219,-1.06041230984169,0.969646934079569,0.409213830648088,0.258201877118763,0.512369082985393,0.507551560840896,0.901947001428593,0.805247210397522,0.440136945432851,0.309854792062328,2.60583490875368e-06,0.000114137717187918,0.000881937392957925,0.00106017714108094,0.00131049976522345,0.182812638670361,4.81606197082873e-06,8.88111837927136e-05,0.015719088816402,0.482645626177868,0.0313264025792245,0.407866523391074,2.60049964909039e-06,0.000113747814612471,0.000877698259076605,0.00105875383175171,0.0013104262479065,7.57053800727097,0.0830480962744413,13.3912152909261,24.3893670619363,0.0526314586882574,94.0992904389825,1.4395528919863,0.220477393075567,23.3244273523509,2.15646918753063,1.50061043986926,2.12087504503727,0.16977517253253,1.61087152930286e-06,0.000398349146593517,0.000379607390082795,0.00102142319278354,0.000790906751492878,1,0.0535,ABCG
0.427734162964879,-0.493224756641477,0.793200776781149,-1.03111197618043,0.936240475826503,0.519604795775361,0.363740115438205,0.636135697037795,0.601925735997417,0.884730814321517,0.778022436262148,0.496604508504806,0.455355789041463,4.75104809073891e-06,0.000236180897668681,0.00179295283080542,0.00222578520620684,0.0027278419099047,0.230305252366518,9.53600460550382e-06,0.000185658177674759,0.0324099682611676,1.29236592440593,0.051943525381111,0.628296317855535,4.74124934376041e-06,0.000235369639385458,0.00178429548667466,0.00222265773660532,0.00272771542530291,8.1443002775258,0.14445305580891,14.0443849755827,24.4948431109459,0.0520623355011682,120.934957534898,1.43460153898045,0.278259091516829,23.9592810183996,2.2150836593151,1.66387015151739,2.52606853987886,0.273983391455642,3.23221350068159e-06,0.000827957184600007,0.000774280763549176,0.00219904213450675,0.00171086524120917,1,0.0798,ABCG
0.533566250165701,-0.521612309752697,0.905126068583766,-1.00623276963462,0.911674511958192,0.595407383667787,0.442961146787873,0.723188825217088,0.663865178992606,0.87623361059373,0.768100947039616,0.564169425365571,0.569952547758629,7.25922360431776e-06,0.000392222033584183,0.00292133364224458,0.00377960993605421,0.00462919137592549,0.259809476864158,1.59414705207284e-05,0.000311141011529375,0.0534384210057629,2.84192027698272,0.0643319283339325,0.807355698515433,7.24412206911811e-06,0.000390868107689155,0.00290718888477641,0.00377412375735339,0.00462903036500583,8.51422011126431,0.20723002787655,14.7232149040251,24.454916082583,0.0486507330534671,147.403971947443,1.42475586115667,0.340293900246931,24.4112995505987,2.25186106977205,1.75348758263148,2.72687695089023,0.359963545919109,5.31999219826008e-06,0.00137897630069959,0.00126107144798658,0.00378052707321652,0.00295508656976472,1,0.1061,ABCG
0.616434626902176,-0.538362372329197,0.986546545612679,-0.986634843448778,0.893529552421761,0.650138664540689,0.503351586141335,0.788121991355256,0.70735606133105,0.871420868803025,0.764592056597695,0.612743046026307,0.660166290572179,1.00590121155485e-05,0.000575472349858509,0.00420477200960563,0.00569745555399279,0.00699297179646075,0.279982312479297,2.45796108044292e-05,0.00045838017758465,0.0776695980549115,5.72713648651778,0.0660005148043304,0.95006985643083,1.00378500949326e-05,0.00057348100001631,0.00418439128211527,0.00568894241141418,0.00699280482366853,8.82186850609946,0.263461472672235,15.4276561018289,24.3598968441575,0.0431746208124752,175.593215138381,1.41747096868028,0.399971364265053,24.7705866921869,2.2773494709498,1.79280179347776,2.78256922778429,0.42917263227444,7.80765586561186e-06,0.00202757469885755,0.001811115647513,0.00572902606092347,0.00449795154608724,1,0.1323,ABCG
0.682808288566794,-0.549100653213942,1.0484914634389,-0.971023302397551,0.879600456426492,0.690360413831879,0.550857110701299,0.838821813059473,0.739714998845889,0.868339140603076,0.763596972552147,0.649338246316372,0.732724031013477,1.30101026901759e-05,0.000781556721815638,0.00560092287467075,0.00792546163267856,0.00969985282652328,0.295250911001019,4.10222353790906e-05,0.000631855005532047,0.104729783486209,11.1216231538682,0.0575460916578236,1.065047973258,1.29818612295721e-05,0.000778831084826268,0.00557366241227215,0.00791334841433474,0.00969971073395793,9.0932020784464,0.334930065014528,16.1869083746731,24.3049728291577,0.0365784491182104,215.710620179914,1.41207602372631,0.467074187406523,25.1306932130181,2.30368013425054,1.84641585120701,2.87853845254338,0.484325077946633,1.06632496789002e-05,0.00275983776859431,0.00240650967230923,0.0080323622083303,0.00633237406803598,1,0.1586,ABCG
0.7364855230147,-0.556324950881244,1.09671802652785,-0.958558960083075,0.86874405636921,0.721817878873084,0.588783520776566,0.879890719528818,0.764516328184579,0.866202640333906,0.763645616895453,0.677597155111698,0.791796919936115,1.60501123068421e-05,0.00100456015555606,0.00706549869141516,0.0104597292475048,0.0127943116496092,0.307464127370508,4.58768880796839e-05,0.000817415016573613,0.133215331761773,21.9191356717226,0.0422070196730479,1.15834630328095,1.60157083190236e-05,0.0010010441620338,0.00703109186648874,0.0104433693733659,0.0127942199871769,9.35628720122473,0.425705774506102,16.971335563268,24.2089688990922,0.0294076031449231,265.57473622183,1.40965039721743,0.540061173587712,25.4334540397725,2.32085706122154,1.87038406979989,2.87080402071989,0.529514234212773,1.38191235300677e-05,0.00355347595519515,0.00302455601201946,0.0106476401698505,0.00842601005706271,1,0.1848,ABCG
0.780953413088691,-0.561440282024599,1.13551623304208,-0.948375947848856,0.860031609480491,0.746824367233561,0.619902793716452,0.914233373542742,0.784242824132496,0.864603411413431,0.764117564065635,0.700179682769571,0.841060155346331,1.92271016650021e-05,0.00124149505736847,0.00857101503420559,0.0132674658167909,0.0161694990672268,0.317867310076525,5.96838653833837e-05,0.00101869956921759,0.163061797128513,46.0978242313637,0.0239738116088638,1.2355577508136,1.91854329686791e-05,0.00123713001416907,0.00852920473472357,0.0132462350279578,0.016169473538465,9.60861180777383,0.512923708325126,17.8109008994913,24.1485605769621,0.0221931753512351,340.020561613923,1.40896593492746,0.610724380282151,25.7403538330099,2.33890187783257,1.89220430088473,2.86638411004775,0.566936426979519,1.72575648671446e-05,0.004399618577352,0.00365499512411244,0.0135708058346088,0.0107768417200827,1,0.2111,ABCG
0.818180353594191,-0.565176552397224,1.16724268155241,-0.939935265779091,0.852919890352171,0.767117716436352,0.645764201252392,0.943473104531406,0.80023542620871,0.863358598429562,0.764756677075793,0.718548682117531,0.882621068468809,2.24618724642926e-05,0.00148780517630869,0.0100858636718358,0.0163114474555183,0.0197706743486509,0.327033542147961,7.54829463108239e-05,0.00123108061655342,0.193527984498459,111.947897104121,0.0081441835326117,1.30001957873914,2.24126371027441e-05,0.0014825503493092,0.0100365794250056,0.0162847481627525,0.019770714270181,9.84921090076322,0.608199749617868,18.700440763108,24.1066618083368,0.0154615128169048,457.859365372424,1.40953004006241,0.683070513674198,26.0422834375829,2.35584229271316,1.91139231586995,2.85413112535917,0.598248980117975,2.09291655946268e-05,0.0052820871704627,0.00428329403954439,0.0167698250700953,0.0133599068671566,1,0.2374,ABCG
